mapid	name	ncommon	ncompounds	compounds	pvalue	reject	padj
mmu00564	Glycerophospholipid metabolism - Mus musculus (mouse)	4	9	['C00307', 'C00093', 'C00570', 'C00065', 'C00114', 'C01996', 'C00111', 'C00346', 'C00670']	0.012156920791191045	False	0.24608444013584546
mmu00910	Nitrogen metabolism - Mus musculus (mouse)	2	2	['C00064', 'C00025']	0.013181846713953681	False	0.24608444013584546
mmu02010	ABC transporters - Mus musculus (mouse)	8	34	['C00188', 'C00047', 'C00135', 'C00294', 'C00114', 'C01157', 'C00077', 'C00025', 'C01083', 'C00475', 'C00212', 'C00051', 'C00031', 'C00148', 'C00093', 'C00881', 'C00430', 'C00299', 'C00123', 'C00062', 'C00719', 'C00041', 'C00134', 'C00065', 'C00407', 'C00315', 'C00255', 'C00245', 'C00116', 'C00049', 'C00079', 'C00378', 'C00064', 'C00387']	0.024186208972906974	False	0.24608444013584546
mmu00970	Aminoacyl-tRNA biosynthesis - Mus musculus (mouse)	5	17	['C00152', 'C00188', 'C00049', 'C00041', 'C00148', 'C00047', 'C00135', 'C00065', 'C00079', 'C00082', 'C00062', 'C00407', 'C00064', 'C00025', 'C00123', 'C00073', 'C00078']	0.03300223009855857	False	0.24608444013584546
mmu00470	D-Amino acid metabolism - Mus musculus (mouse)	5	17	['C00188', 'C00049', 'C00041', 'C00148', 'C00047', 'C00135', 'C00134', 'C00065', 'C00079', 'C00064', 'C01157', 'C03771', 'C00077', 'C00025', 'C00062', 'C00073', 'C00022']	0.03300223009855857	False	0.24608444013584546
mmu00220	Arginine biosynthesis - Mus musculus (mouse)	3	7	['C00327', 'C00049', 'C03406', 'C00064', 'C00077', 'C00025', 'C00062']	0.036012357093050555	False	0.24608444013584546
mmu00630	Glyoxylate and dicarboxylate metabolism - Mus musculus (mouse)	3	8	['C00042', 'C00417', 'C00149', 'C00065', 'C00064', 'C00025', 'C00158', 'C00022']	0.053224507336157995	False	0.2727756000978097
mmu00340	Histidine metabolism - Mus musculus (mouse)	3	8	['C01262', 'C00049', 'C00135', 'C01152', 'C05828', 'C00025', 'C00386', 'C02835']	0.053224507336157995	False	0.2727756000978097
mmu04068	FoxO signaling pathway - Mus musculus (mouse)	2	4	['C00025', 'C00020', 'C00031', 'C00008']	0.06820522420504152	False	0.31071268804518914
mmu00480	Glutathione metabolism - Mus musculus (mouse)	3	10	['C00005', 'C00134', 'C00006', 'C00127', 'C00315', 'C00077', 'C01879', 'C00025', 'C00072', 'C00051']	0.09736353522777817	False	0.34357541899441324
