mapid	name	ncommon	ncompounds	compounds	pvalue	reject	padj
mmu00130	Ubiquinone and other terpenoid-quinone biosynthesis - Mus musculus (mouse)	2	3	['C02477', 'C03964', 'C00082']	0.04766743019950253	False	0.7752980181576976
mmu01040	Biosynthesis of unsaturated fatty acids - Mus musculus (mouse)	3	8	['C01595', 'C16513', 'C01530', 'C16525', 'C16527', 'C06429', 'C00219', 'C03242']	0.0756394535596211	False	0.7752980181576976
mmu00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Mus musculus (mouse)	2	5	['C00079', 'C00082', 'C00074', 'C00354', 'C00078']	0.13391660433925945	False	0.7752980181576976
mmu00500	Starch and sucrose metabolism - Mus musculus (mouse)	2	5	['C00031', 'C00092', 'C00029', 'C00103', 'C01083']	0.13391660433925945	False	0.7752980181576976
mmu00350	Tyrosine metabolism - Mus musculus (mouse)	2	5	['C03964', 'C00042', 'C03758', 'C00082', 'C00022']	0.13391660433925945	False	0.7752980181576976
mmu00240	Pyrimidine metabolism - Mus musculus (mouse)	4	16	['C00106', 'C00029', 'C00055', 'C00015', 'C00063', 'C00881', 'C00295', 'C00064', 'C00364', 'C00363', 'C02067', 'C00105', 'C00299', 'C00475', 'C00214', 'C00112']	0.1480601578028764	False	0.7752980181576976
mmu00010	Glycolysis / Gluconeogenesis - Mus musculus (mouse)	2	6	['C00031', 'C00186', 'C00074', 'C00103', 'C00111', 'C00022']	0.18460986836825308	False	0.7752980181576976
mmu00053	Ascorbate and aldarate metabolism - Mus musculus (mouse)	2	6	['C00029', 'C00072', 'C00096', 'C00167', 'C01620', 'C00022']	0.18460986836825308	False	0.7752980181576976
mmu00120	Primary bile acid biosynthesis - Mus musculus (mouse)	1	2	['C05122', 'C00245']	0.25083171175690216	False	0.7752980181576976
mmu00440	Phosphonate and phosphinate metabolism - Mus musculus (mouse)	1	2	['C00074', 'C00022']	0.25083171175690216	False	0.7752980181576976
mmu00562	Inositol phosphate metabolism - Mus musculus (mouse)	1	2	['C00111', 'C00092']	0.25083171175690216	False	0.7752980181576976
mmu00591	Linoleic acid metabolism - Mus musculus (mouse)	1	3	['C01595', 'C00219', 'C03242']	0.35241385253557683	False	0.9075758588857331
mmu00360	Phenylalanine metabolism - Mus musculus (mouse)	1	4	['C00079', 'C00042', 'C00022', 'C00082']	0.44072105446254045	False	0.9075758588857331
mmu00730	Thiamine metabolism - Mus musculus (mouse)	1	4	['C00003', 'C00378', 'C00022', 'C00082']	0.44072105446254045	False	0.9075758588857331
mmu00620	Pyruvate metabolism - Mus musculus (mouse)	1	5	['C00042', 'C00149', 'C00186', 'C00074', 'C00022']	0.5174221669934237	False	0.9075758588857331
mmu00561	Glycerolipid metabolism - Mus musculus (mouse)	1	5	['C00029', 'C00093', 'C00103', 'C00111', 'C00116']	0.5174221669934237	False	0.9075758588857331
mmu00052	Galactose metabolism - Mus musculus (mouse)	1	5	['C00029', 'C00031', 'C00103', 'C00111', 'C00116']	0.5174221669934237	False	0.9075758588857331
mmu00524	Neomycin, kanamycin and gentamicin biosynthesis - Mus musculus (mouse)	1	5	['C00029', 'C00031', 'C00092', 'C00043', 'C00025']	0.5174221669934237	False	0.9075758588857331
mmu04066	HIF-1 signaling pathway - Mus musculus (mouse)	1	5	['C00031', 'C00186', 'C00002', 'C00072', 'C00022']	0.5174221669934237	False	0.9075758588857331
mmu00020	Citrate cycle (TCA cycle) - Mus musculus (mouse)	1	6	['C00042', 'C00417', 'C00149', 'C00074', 'C00158', 'C00022']	0.5839846267184721	False	0.9075758588857331
mmu00520	Amino sugar and nucleotide sugar metabolism - Mus musculus (mouse)	1	6	['C00031', 'C00029', 'C00096', 'C00167', 'C00043', 'C00103']	0.5839846267184721	False	0.9075758588857331
mmu00260	Glycine, serine and threonine metabolism - Mus musculus (mouse)	2	14	['C00581', 'C00188', 'C02291', 'C00719', 'C00263', 'C00022', 'C00049', 'C00065', 'C00114', 'C00430', 'C00213', 'C00300', 'C01026', 'C00078']	0.587254967514298	False	0.9075758588857331
mmu00030	Pentose phosphate pathway - Mus musculus (mouse)	1	7	['C00257', 'C00031', 'C00345', 'C00620', 'C00199', 'C05382', 'C00022']	0.6416977420870398	False	0.9151676442101946
mmu00040	Pentose and glucuronate interconversions - Mus musculus (mouse)	1	8	['C00029', 'C00199', 'C00167', 'C00103', 'C00532', 'C00111', 'C00116', 'C00022']	0.6916934059818028	False	0.9151676442101946
mmu00430	Taurine and hypotaurine metabolism - Mus musculus (mouse)	1	8	['C00041', 'C05122', 'C00519', 'C00245', 'C05123', 'C00025', 'C00606', 'C00022']	0.6916934059818028	False	0.9151676442101946
mmu00330	Arginine and proline metabolism - Mus musculus (mouse)	2	17	['C00019', 'C00581', 'C00148', 'C00334', 'C00134', 'C02305', 'C02714', 'C01157', 'C00315', 'C03771', 'C00077', 'C00791', 'C00025', 'C00213', 'C00062', 'C00300', 'C00022']	0.6998340808666194	False	0.9151676442101946
mmu00480	Glutathione metabolism - Mus musculus (mouse)	1	10	['C00005', 'C00134', 'C00006', 'C00127', 'C00315', 'C00077', 'C01879', 'C00025', 'C00072', 'C00051']	0.7723812823935665	False	0.9633580676191349
mmu00250	Alanine, aspartate and glutamate metabolism - Mus musculus (mouse)	1	12	['C00152', 'C00158', 'C00049', 'C00042', 'C00041', 'C01042', 'C00334', 'C03406', 'C00064', 'C00025', 'C12270', 'C00022']	0.8326050005768224	False	0.9633580676191349
mmu04080	Neuroactive ligand-receptor interaction - Mus musculus (mouse)	1	13	['C00049', 'C00780', 'C00696', 'C00015', 'C00008', 'C03758', 'C00334', 'C01996', 'C00245', 'C00002', 'C00025', 'C00212', 'C12270']	0.8566617669609853	False	0.9633580676191349
mmu00270	Cysteine and methionine metabolism - Mus musculus (mouse)	1	15	['C00019', 'C00170', 'C02291', 'C00049', 'C02989', 'C00263', 'C00041', 'C00022', 'C00021', 'C00065', 'C02356', 'C00979', 'C00606', 'C00073', 'C00051']	0.8952202226393621	False	0.9633580676191349
mmu00970	Aminoacyl-tRNA biosynthesis - Mus musculus (mouse)	1	17	['C00152', 'C00188', 'C00049', 'C00041', 'C00148', 'C00047', 'C00135', 'C00065', 'C00079', 'C00082', 'C00062', 'C00407', 'C00064', 'C00025', 'C00123', 'C00073', 'C00078']	0.9237238340775669	False	0.9633580676191349
mmu00470	D-Amino acid metabolism - Mus musculus (mouse)	1	17	['C00188', 'C00049', 'C00041', 'C00148', 'C00047', 'C00135', 'C00134', 'C00065', 'C00079', 'C00064', 'C01157', 'C03771', 'C00077', 'C00025', 'C00062', 'C00073', 'C00022']	0.9237238340775669	False	0.9633580676191349
mmu00230	Purine metabolism - Mus musculus (mouse)	1	18	['C00620', 'C00130', 'C00294', 'C00020', 'C00044', 'C00242', 'C01367', 'C00064', 'C00366', 'C00262', 'C00385', 'C00147', 'C00002', 'C00035', 'C00008', 'C00387', 'C00212', 'C00144']	0.9350240068068074	False	0.9633580676191349
mmu02010	ABC transporters - Mus musculus (mouse)	2	34	['C00188', 'C00047', 'C00135', 'C00294', 'C00114', 'C01157', 'C00077', 'C00025', 'C01083', 'C00475', 'C00212', 'C00051', 'C00031', 'C00148', 'C00093', 'C00881', 'C00430', 'C00299', 'C00123', 'C00062', 'C00719', 'C00041', 'C00134', 'C00065', 'C00407', 'C00315', 'C00255', 'C00245', 'C00116', 'C00049', 'C00079', 'C00378', 'C00064', 'C00387']	0.9671975226717244	False	0.9671975226717244
