mapid	name	ncommon	ncompounds	compounds	pvalue	reject	padj
mmu00410	beta-Alanine metabolism - Mus musculus (mouse)	6	7	['C00106', 'C01262', 'C00049', 'C00135', 'C00334', 'C00315', 'C00386']	0.00611488198927255	False	0.21097352265440855
mmu04024	cAMP signaling pathway - Mus musculus (mouse)	7	9	['C01089', 'C00780', 'C00042', 'C00186', 'C03758', 'C00020', 'C00334', 'C01996', 'C00212']	0.007151644835742663	False	0.21097352265440855
mmu00230	Purine metabolism - Mus musculus (mouse)	11	18	['C00620', 'C00130', 'C00294', 'C00020', 'C00044', 'C00242', 'C01367', 'C00064', 'C00366', 'C00262', 'C00385', 'C00147', 'C00002', 'C00035', 'C00008', 'C00387', 'C00212', 'C00144']	0.010951291614296945	False	0.2153754017478399
mmu01040	Biosynthesis of unsaturated fatty acids - Mus musculus (mouse)	6	8	['C01595', 'C16513', 'C01530', 'C16525', 'C16527', 'C06429', 'C00219', 'C03242']	0.0179339784390257	False	0.2645261819756291
mmu00591	Linoleic acid metabolism - Mus musculus (mouse)	3	3	['C01595', 'C00219', 'C03242']	0.03640700520996353	False	0.3580022178979747
mmu04022	cGMP-PKG signaling pathway - Mus musculus (mouse)	3	3	['C00212', 'C00020', 'C00144']	0.03640700520996353	False	0.3580022178979747
mmu00340	Histidine metabolism - Mus musculus (mouse)	5	8	['C01262', 'C00049', 'C00135', 'C01152', 'C05828', 'C00025', 'C00386', 'C02835']	0.08498048920854077	False	0.5462620048960564
mmu00760	Nicotinate and nicotinamide metabolism - Mus musculus (mouse)	5	8	['C00049', 'C00042', 'C00334', 'C00153', 'C00003', 'C00006', 'C00111', 'C00022']	0.08498048920854077	False	0.5462620048960564
mmu04080	Neuroactive ligand-receptor interaction - Mus musculus (mouse)	7	13	['C00049', 'C00780', 'C00696', 'C00015', 'C00008', 'C03758', 'C00334', 'C01996', 'C00245', 'C00002', 'C00025', 'C00212', 'C12270']	0.09786134565293571	False	0.5462620048960564
mmu00770	Pantothenate and CoA biosynthesis - Mus musculus (mouse)	3	4	['C00106', 'C00049', 'C00010', 'C00022']	0.11025530555061769	False	0.5462620048960564
mmu00590	Arachidonic acid metabolism - Mus musculus (mouse)	2	2	['C00219', 'C00696']	0.11110413658902842	False	0.5462620048960564
mmu00562	Inositol phosphate metabolism - Mus musculus (mouse)	2	2	['C00111', 'C00092']	0.11110413658902842	False	0.5462620048960564
mmu00250	Alanine, aspartate and glutamate metabolism - Mus musculus (mouse)	6	12	['C00152', 'C00158', 'C00049', 'C00042', 'C00041', 'C01042', 'C00334', 'C03406', 'C00064', 'C00025', 'C12270', 'C00022']	0.17371988045399347	False	0.7738034870549982
mmu00561	Glycerolipid metabolism - Mus musculus (mouse)	3	5	['C00029', 'C00093', 'C00103', 'C00111', 'C00116']	0.2098450134386436	False	0.7738034870549982
mmu00052	Galactose metabolism - Mus musculus (mouse)	3	5	['C00029', 'C00031', 'C00103', 'C00111', 'C00116']	0.2098450134386436	False	0.7738034870549982
mmu00350	Tyrosine metabolism - Mus musculus (mouse)	3	5	['C03964', 'C00042', 'C03758', 'C00082', 'C00022']	0.2098450134386436	False	0.7738034870549982
mmu00040	Pentose and glucuronate interconversions - Mus musculus (mouse)	4	8	['C00029', 'C00199', 'C00167', 'C00103', 'C00532', 'C00111', 'C00116', 'C00022']	0.25858306173676965	False	0.8089160821832198
mmu00630	Glyoxylate and dicarboxylate metabolism - Mus musculus (mouse)	4	8	['C00042', 'C00417', 'C00149', 'C00065', 'C00064', 'C00025', 'C00158', 'C00022']	0.25858306173676965	False	0.8089160821832198
mmu00640	Propanoate metabolism - Mus musculus (mouse)	2	3	['C00111', 'C00186', 'C00042']	0.26049839934713853	False	0.8089160821832198
mmu00020	Citrate cycle (TCA cycle) - Mus musculus (mouse)	3	6	['C00042', 'C00417', 'C00149', 'C00074', 'C00158', 'C00022']	0.3214541688303473	False	0.8240223463686775
mmu00071	Fatty acid degradation - Mus musculus (mouse)	1	1	['C00010']	0.33519553072624175	False	0.8240223463686775
mmu00750	Vitamin B6 metabolism - Mus musculus (mouse)	1	1	['C00064']	0.33519553072624175	False	0.8240223463686775
mmu04151	PI3K-Akt signaling pathway - Mus musculus (mouse)	1	1	['C00020']	0.33519553072624175	False	0.8240223463686775
mmu00232	Caffeine metabolism - Mus musculus (mouse)	1	1	['C00385']	0.33519553072624175	False	0.8240223463686775
mmu00380	Tryptophan metabolism - Mus musculus (mouse)	2	4	['C05635', 'C00780', 'C00328', 'C00078']	0.4107414931436587	False	0.9320672344413794
mmu00740	Riboflavin metabolism - Mus musculus (mouse)	2	4	['C00199', 'C00016', 'C00255', 'C00044']	0.4107414931436587	False	0.9320672344413794
mmu00030	Pentose phosphate pathway - Mus musculus (mouse)	3	7	['C00257', 'C00031', 'C00345', 'C00620', 'C00199', 'C05382', 'C00022']	0.4337084638486199	False	0.9477333098914287
mmu00310	Lysine degradation - Mus musculus (mouse)	2	5	['C00042', 'C00047', 'C00408', 'C03793', 'C00956']	0.5446724796138058	False	0.9981592042306672
mmu00500	Starch and sucrose metabolism - Mus musculus (mouse)	2	5	['C00031', 'C00092', 'C00029', 'C00103', 'C01083']	0.5446724796138058	False	0.9981592042306672
mmu00650	Butanoate metabolism - Mus musculus (mouse)	2	5	['C01089', 'C00042', 'C00334', 'C00025', 'C00022']	0.5446724796138058	False	0.9981592042306672
mmu00910	Nitrogen metabolism - Mus musculus (mouse)	1	2	['C00064', 'C00025']	0.5592869248634047	False	0.9981592042306672
mmu00120	Primary bile acid biosynthesis - Mus musculus (mouse)	1	2	['C05122', 'C00245']	0.5592869248634047	False	0.9981592042306672
mmu00010	Glycolysis / Gluconeogenesis - Mus musculus (mouse)	2	6	['C00031', 'C00186', 'C00074', 'C00103', 'C00111', 'C00022']	0.6562816350055285	False	0.9981592042306672
mmu00051	Fructose and mannose metabolism - Mus musculus (mouse)	1	3	['C00111', 'C00186', 'C00096']	0.7086811876214894	False	0.9981592042306672
mmu04071	Sphingolipid signaling pathway - Mus musculus (mouse)	1	3	['C00346', 'C00065', 'C00212']	0.7086811876214894	False	0.9981592042306672
mmu04150	mTOR signaling pathway - Mus musculus (mouse)	1	3	['C00062', 'C00123', 'C00020']	0.7086811876214894	False	0.9981592042306672
mmu00130	Ubiquinone and other terpenoid-quinone biosynthesis - Mus musculus (mouse)	1	3	['C02477', 'C03964', 'C00082']	0.7086811876214894	False	0.9981592042306672
mmu00220	Arginine biosynthesis - Mus musculus (mouse)	2	7	['C00327', 'C00049', 'C03406', 'C00064', 'C00077', 'C00025', 'C00062']	0.7453109034682776	False	0.9981592042306672
mmu00360	Phenylalanine metabolism - Mus musculus (mouse)	1	4	['C00079', 'C00042', 'C00022', 'C00082']	0.8079944191141253	False	0.9981592042306672
mmu04068	FoxO signaling pathway - Mus musculus (mouse)	1	4	['C00025', 'C00020', 'C00031', 'C00008']	0.8079944191141253	False	0.9981592042306672
mmu00730	Thiamine metabolism - Mus musculus (mouse)	1	4	['C00003', 'C00378', 'C00022', 'C00082']	0.8079944191141253	False	0.9981592042306672
mmu00430	Taurine and hypotaurine metabolism - Mus musculus (mouse)	2	8	['C00041', 'C05122', 'C00519', 'C00245', 'C05123', 'C00025', 'C00606', 'C00022']	0.8141533029190547	False	0.9981592042306672
mmu00564	Glycerophospholipid metabolism - Mus musculus (mouse)	2	9	['C00307', 'C00093', 'C00570', 'C00065', 'C00114', 'C01996', 'C00111', 'C00346', 'C00670']	0.8661445553030808	False	0.9981592042306672
mmu00920	Sulfur metabolism - Mus musculus (mouse)	1	5	['C00263', 'C00042', 'C00065', 'C00245', 'C00979']	0.8738249039894017	False	0.9981592042306672
mmu04122	Sulfur relay system - Mus musculus (mouse)	1	5	['C00019', 'C00041', 'C00044', 'C00378', 'C00979']	0.8738249039894017	False	0.9981592042306672
mmu00524	Neomycin, kanamycin and gentamicin biosynthesis - Mus musculus (mouse)	1	5	['C00029', 'C00031', 'C00092', 'C00043', 'C00025']	0.8738249039894017	False	0.9981592042306672
mmu00620	Pyruvate metabolism - Mus musculus (mouse)	1	5	['C00042', 'C00149', 'C00186', 'C00074', 'C00022']	0.8738249039894017	False	0.9981592042306672
mmu00190	Oxidative phosphorylation - Mus musculus (mouse)	1	5	['C00042', 'C00004', 'C00003', 'C00002', 'C00008']	0.8738249039894017	False	0.9981592042306672
mmu02010	ABC transporters - Mus musculus (mouse)	9	34	['C00188', 'C00047', 'C00135', 'C00294', 'C00114', 'C01157', 'C00077', 'C00025', 'C01083', 'C00475', 'C00212', 'C00051', 'C00031', 'C00148', 'C00093', 'C00881', 'C00430', 'C00299', 'C00123', 'C00062', 'C00719', 'C00041', 'C00134', 'C00065', 'C00407', 'C00315', 'C00255', 'C00245', 'C00116', 'C00049', 'C00079', 'C00378', 'C00064', 'C00387']	0.8800948660196671	False	0.9981592042306672
mmu00480	Glutathione metabolism - Mus musculus (mouse)	2	10	['C00005', 'C00134', 'C00006', 'C00127', 'C00315', 'C00077', 'C01879', 'C00025', 'C00072', 'C00051']	0.9046792482463626	False	0.9981592042306672
mmu00520	Amino sugar and nucleotide sugar metabolism - Mus musculus (mouse)	1	6	['C00031', 'C00029', 'C00096', 'C00167', 'C00043', 'C00103']	0.9173335577861604	False	0.9981592042306672
mmu00053	Ascorbate and aldarate metabolism - Mus musculus (mouse)	1	6	['C00029', 'C00072', 'C00096', 'C00167', 'C01620', 'C00022']	0.9173335577861604	False	0.9981592042306672
mmu04152	AMPK signaling pathway - Mus musculus (mouse)	1	6	['C00031', 'C00020', 'C00003', 'C00354', 'C00008', 'C00022']	0.9173335577861604	False	0.9981592042306672
mmu00270	Cysteine and methionine metabolism - Mus musculus (mouse)	3	15	['C00019', 'C00170', 'C02291', 'C00049', 'C02989', 'C00263', 'C00041', 'C00022', 'C00021', 'C00065', 'C02356', 'C00979', 'C00606', 'C00073', 'C00051']	0.9315003814459641	False	0.9981592042306672
mmu00240	Pyrimidine metabolism - Mus musculus (mouse)	3	16	['C00106', 'C00029', 'C00055', 'C00015', 'C00063', 'C00881', 'C00295', 'C00064', 'C00364', 'C00363', 'C02067', 'C00105', 'C00299', 'C00475', 'C00214', 'C00112']	0.9503294155998208	False	0.9981592042306672
mmu00470	D-Amino acid metabolism - Mus musculus (mouse)	3	17	['C00188', 'C00049', 'C00041', 'C00148', 'C00047', 'C00135', 'C00134', 'C00065', 'C00079', 'C00064', 'C01157', 'C03771', 'C00077', 'C00025', 'C00062', 'C00073', 'C00022']	0.9643232990025089	False	0.9981592042306672
mmu00970	Aminoacyl-tRNA biosynthesis - Mus musculus (mouse)	3	17	['C00152', 'C00188', 'C00049', 'C00041', 'C00148', 'C00047', 'C00135', 'C00065', 'C00079', 'C00082', 'C00062', 'C00407', 'C00064', 'C00025', 'C00123', 'C00073', 'C00078']	0.9643232990025089	False	0.9981592042306672
mmu00260	Glycine, serine and threonine metabolism - Mus musculus (mouse)	1	14	['C00581', 'C00188', 'C02291', 'C00719', 'C00263', 'C00022', 'C00049', 'C00065', 'C00114', 'C00430', 'C00213', 'C00300', 'C01026', 'C00078']	0.997494807250591	False	0.9993611695443648
mmu00330	Arginine and proline metabolism - Mus musculus (mouse)	1	17	['C00019', 'C00581', 'C00148', 'C00334', 'C00134', 'C02305', 'C02714', 'C01157', 'C00315', 'C03771', 'C00077', 'C00791', 'C00025', 'C00213', 'C00062', 'C00300', 'C00022']	0.9993611695443648	False	0.9993611695443648
