mapid	name	ncommon	ncompounds	compounds	pvalue	reject	padj
mmu00565	Ether lipid metabolism - Mus musculus (mouse)	1	1	['C00670']	0.0782122905027936	False	0.6172839691411022
mmu00450	Selenocompound metabolism - Mus musculus (mouse)	1	1	['C00041']	0.0782122905027936	False	0.6172839691411022
mmu00564	Glycerophospholipid metabolism - Mus musculus (mouse)	2	9	['C00307', 'C00093', 'C00570', 'C00065', 'C00114', 'C01996', 'C00111', 'C00346', 'C00670']	0.1490579370141763	False	0.6172839691411022
mmu00130	Ubiquinone and other terpenoid-quinone biosynthesis - Mus musculus (mouse)	1	3	['C02477', 'C03964', 'C00082']	0.21788773407351106	False	0.6172839691411022
mmu00250	Alanine, aspartate and glutamate metabolism - Mus musculus (mouse)	2	12	['C00152', 'C00158', 'C00049', 'C00042', 'C00041', 'C01042', 'C00334', 'C03406', 'C00064', 'C00025', 'C12270', 'C00022']	0.23848148095951757	False	0.6172839691411022
mmu00360	Phenylalanine metabolism - Mus musculus (mouse)	1	4	['C00079', 'C00042', 'C00022', 'C00082']	0.280101209772209	False	0.6172839691411022
mmu00270	Cysteine and methionine metabolism - Mus musculus (mouse)	2	15	['C00019', 'C00170', 'C02291', 'C00049', 'C02989', 'C00263', 'C00041', 'C00022', 'C00021', 'C00065', 'C02356', 'C00979', 'C00606', 'C00073', 'C00051']	0.33153444195435594	False	0.6172839691411022
mmu00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Mus musculus (mouse)	1	5	['C00079', 'C00082', 'C00074', 'C00354', 'C00078']	0.3376931129904951	False	0.6172839691411022
mmu00620	Pyruvate metabolism - Mus musculus (mouse)	1	5	['C00042', 'C00149', 'C00186', 'C00074', 'C00022']	0.3376931129904951	False	0.6172839691411022
mmu04122	Sulfur relay system - Mus musculus (mouse)	1	5	['C00019', 'C00041', 'C00044', 'C00378', 'C00979']	0.3376931129904951	False	0.6172839691411022
mmu00310	Lysine degradation - Mus musculus (mouse)	1	5	['C00042', 'C00047', 'C00408', 'C03793', 'C00956']	0.3376931129904951	False	0.6172839691411022
mmu00020	Citrate cycle (TCA cycle) - Mus musculus (mouse)	1	6	['C00042', 'C00417', 'C00149', 'C00074', 'C00158', 'C00022']	0.3909821728648366	False	0.6172839691411022
mmu00470	D-Amino acid metabolism - Mus musculus (mouse)	2	17	['C00188', 'C00049', 'C00041', 'C00148', 'C00047', 'C00135', 'C00134', 'C00065', 'C00079', 'C00064', 'C01157', 'C03771', 'C00077', 'C00025', 'C00062', 'C00073', 'C00022']	0.3928170712716105	False	0.6172839691411022
mmu00970	Aminoacyl-tRNA biosynthesis - Mus musculus (mouse)	2	17	['C00152', 'C00188', 'C00049', 'C00041', 'C00148', 'C00047', 'C00135', 'C00065', 'C00079', 'C00082', 'C00062', 'C00407', 'C00064', 'C00025', 'C00123', 'C00073', 'C00078']	0.3928170712716105	False	0.6172839691411022
mmu00220	Arginine biosynthesis - Mus musculus (mouse)	1	7	['C00327', 'C00049', 'C03406', 'C00064', 'C00077', 'C00025', 'C00062']	0.4402668525174061	False	0.6287166824043461
mmu00430	Taurine and hypotaurine metabolism - Mus musculus (mouse)	1	8	['C00041', 'C05122', 'C00519', 'C00245', 'C05123', 'C00025', 'C00606', 'C00022']	0.48582652731244924	False	0.6287166824043461
mmu00630	Glyoxylate and dicarboxylate metabolism - Mus musculus (mouse)	1	8	['C00042', 'C00417', 'C00149', 'C00065', 'C00064', 'C00025', 'C00158', 'C00022']	0.48582652731244924	False	0.6287166824043461
mmu02010	ABC transporters - Mus musculus (mouse)	3	34	['C00188', 'C00047', 'C00135', 'C00294', 'C00114', 'C01157', 'C00077', 'C00025', 'C01083', 'C00475', 'C00212', 'C00051', 'C00031', 'C00148', 'C00093', 'C00881', 'C00430', 'C00299', 'C00123', 'C00062', 'C00719', 'C00041', 'C00134', 'C00065', 'C00407', 'C00315', 'C00255', 'C00245', 'C00116', 'C00049', 'C00079', 'C00378', 'C00064', 'C00387']	0.5188528081602682	False	0.6341534321958834
mmu00480	Glutathione metabolism - Mus musculus (mouse)	1	10	['C00005', 'C00134', 'C00006', 'C00127', 'C00315', 'C00077', 'C01879', 'C00025', 'C00072', 'C00051']	0.5667995633621052	False	0.656294231261385
mmu00260	Glycine, serine and threonine metabolism - Mus musculus (mouse)	1	14	['C00581', 'C00188', 'C02291', 'C00719', 'C00263', 'C00022', 'C00049', 'C00065', 'C00114', 'C00430', 'C00213', 'C00300', 'C01026', 'C00078']	0.6944686507547653	False	0.7639155158302419
mmu00330	Arginine and proline metabolism - Mus musculus (mouse)	1	17	['C00019', 'C00581', 'C00148', 'C00334', 'C00134', 'C02305', 'C02714', 'C01157', 'C00315', 'C03771', 'C00077', 'C00791', 'C00025', 'C00213', 'C00062', 'C00300', 'C00022']	0.766226727698894	False	0.7864293561693603
mmu00230	Purine metabolism - Mus musculus (mouse)	1	18	['C00620', 'C00130', 'C00294', 'C00020', 'C00044', 'C00242', 'C01367', 'C00064', 'C00366', 'C00262', 'C00385', 'C00147', 'C00002', 'C00035', 'C00008', 'C00387', 'C00212', 'C00144']	0.7864293561693603	False	0.7864293561693603
